item,itemLabel,fnames,lnames,itemDescription,birth,death,professions,summary
Q18945651,Marsilio Cagnati,,,1543-1612,1543,1612,physician,
Q55901911,Angelo Gualandris,Angelo,,botanist (1750-1788),1750,1788,"naturalist, geologist, agronomist, botanist",
Q1522146,Giacomo Nani,Giacomo,Nani,politician (1725-1797),1725,1797,politician,
Q21656610,Joannes Bernardus Felicianus,Giovanni,,,1490,1552,physician,
Q19838679,Ermolao Donà,Ermolao,,,,1450,"politician, diplomat",
Q63655675,Antonio Maria Traversi,"Antonio, Maria",,roman-catholic patriarch,1765,1842,Catholic priest,
Q3638735,Bernardino Vitali,Bernardino,Vitali,Italian typographer,1494,1539,typographer,
Q19402305,Fina Buzzaccarini,Fina,Buzzaccarini,,1328,1378,,
Q17329185,Giuseppe Rocco Volpi,Giuseppe,Volpi,Italian writer,1692,1746,writer,
Q43134992,Ottavio Padovanino,Ottavio,,,1582,1634,artist,
Q3880819,Oddo degli Oddi,Oddo,,Italian physician,1478,1558,physician,
Q63652575,Onofrio Paganini,,,,1705,1776,actor,
Q43288825,Q43288825,Camillo,Rospigliosi,,1714,1763,,
Q15812358,Giulio Sanuto,Giulio,Sanuto,Italian copperplate engraver,1540,1588,copperplate engraver,
Q3642129,Bonifacio Falier,Bonifacio,,,,1133,Catholic priest,
Q27901771,Hieronymus Ragasonus,Hieronymus,,Venetian bishop,,,Catholic bishop,
Q3770144,Giuseppe Boniventi,Giuseppe,,Italian composer,1670,1727,composer,
Q91337655,Giandomenico Brustolon,Giandomenico,Brustolon,,1747,1817,,
Q17279831,Andrea Badoer,Andrea,Badoer,Italian politician (1515-75),1515,1575,"politician, diplomat",
Q94574791,Anton Maria Traversi,Anton,,,1765,1839,,
Q15654345,Tommaso Formenton,Tommaso,Formenton,Italian architect,1440,1492,architect,
Q3894397,Paolo Pozzo,Paolo,Pozzo,Italian architect,1741,1803,architect,
Q17341123,Marcantonio Zorzi,Marcantonio,Zorzi,,1703,1787,"judge, poet",
Q17285544,Simone Sorella,Simone,Sorella,Italian architect,1501,,architect,
Q15958419,Domenico Bollani,Domenico,Bollani,Italian catholic bishop,,1613,Catholic priest,
Q65034880,Q65034880,,,,1490,1526,,
Q3659008,Carlo Antonio Marin,Carlo,Marin,Italian historian,1745,1815,historian,
Q3757049,Gaetano Mattioli,Gaetano,Mattioli,Italian composer,1750,1815,composer,
Q3770476,Giuseppe Diziani,Giuseppe,,Italian painter (1732-1803),1732,1803,painter,
Q92914036,Pio Chicchi,Pio,,,1848,,,
Q94577304,Paul Anton Seriman,Paul,,,1714,1789,military officer,
Q18507796,Antonio Bosa,Antonio,,Italian sculptor (1780-1845),1780,1845,sculptor,
Q1867774,Lodovico Fogliano,"Ludovico, Lodovico",Fogliano,"Italian music theorist, composer, singer, and humanist",1475,1548,"composer, singer, musician, music theorist",
Q16560336,Girolamo Manfrin,Girolamo,Manfrin,Italian entrepreneur,1742,1802,entrepreneur,
Q68551288,Stefano Scolari,Stefano,Scolari,Italian printer and publisher,1598,1691,"printer, publisher",
Q16559788,Giovanni Battista Cromer,"Giovanni, Giovanni Battista",,Italian painter (1665-1745),1665,1745,painter,
Q3413981,Callisto,,,bishop,0601,0756,Catholic priest,
Q775525,Aurelio Aureli,Aurelio,Aureli,Italian librettist and writer,1630,1708,"writer, poet, librettist",
Q60926797,Paolo Callalo,Paolo,,,1655,1725,sculptor,
Q1624615,Lazzaro Mocenigo,Lazzaro,,Italian officer,1624,1657,military officer,
Q3157653,Jacopo Zopelli,,,,1639,1718,poet,
Q1909342,Matteo Alberti,Matteo,Alberti,Italian architect,1660,1716,architect,
Q85826734,Paolino Caliari,Paolo,Caliari,Italian painter,1763,1835,painter,
Q332089,Bonaventura Badoardo de Peraga,Bonaventura,,Italian theologian,1332,1389,"Catholic priest, theologian",
Q3618875,Anton Maria Borromeo,Anton,,Italian librarian,1724,1813,"poet, librarian",
Q19936185,Baldassarre Francesco Rasponi,"Francesco, Baldassare",Rasponi,,1758,1814,Catholic priest,
Q48809002,Q48809002,Bernardo,,,1190,1248,military leader,
Q16268366,Maffeo Nicolò Farsetti,Maffeo,Farsetti,Italian archbishop (1677-1741),1677,1741,Catholic priest,
Q3992757,Tommaso Donato,Tommaso,Donato,,1434,1504,,
Q16559867,Giovanni Carlo Bonlini,Giovanni,,,1673,1731,,
Q659997,Bartolommeo Gamba,"Bartolommeo, Bartolomeo",Gamba,Italian writer and bibliographer,1766,1841,"writer, librarian, bibliographer",
Q52154213,Giorgio Giacoboni,Giorgio,Giacoboni,,1716,1762,"painter, printmaker, drawer",
Q26265689,Jacopo Zeno,Jacopo,,,1418,1481,"bishop, Catholic bishop, Renaissance humanist",
Q51144,Rambaldo degli Azzoni Avogaro,Rambaldo,degli Azzoni Avogaro,Italian historian and numismatist,1719,1790,"historian, numismatist",
Q3605256,Adeodato Maria da Venezia,,,Italian monk,1701,1768,monk,
Q26265364,Girolamo Malipiero,Girolamo,,,1480,1547,"poet, Nobile",
Q84754556,Nicolò Cavalli,,,Italiaans; graveur; 1730; Longarone; 1822; Venetië,1730,1822,engraver,
Q88270818,Marie-Christine Rombocoli-Riggieri,,,(1751 - 1830),1751,1830,stage actor,
Q17279955,Giovanni Casoni,Giovanni,,"Italian engineer, historian and archaeologist",1783,1857,"engineer, historian, archaeologist",
Q63347394,Federico Malipiero,Federico,Malipiero,,1603,1643,"writer, civil servant",
Q21774050,Giovanni Palazzi,Giovanni,Palazzi,Italian historian (1640-1703),1640,1703,historian,
Q18608022,Girolamo da Treviso the Elder,Girolamo,,Italian painter,1450,1496,painter,
Q52154233,Fra Felice Cignaroli,,,,1726,1796,"monk, painter",
Q29556029,Marco Querini,Marco,Querini,politician,,1310,politician,
Q3619500,Antonio David,Antonio,David,,,1416,Catholic priest,
Q29375850,Girolamo Bologni,Girolamo,,"Italian jurist, philologist and poet (1454-1517)",1454,1517,"poet, jurist, philologist",
Q23053055,Onorio Arrigoni,Onorio,Arrigoni,Venetian numismatist (1668-1758),1668,1758,numismatist,
Q18624174,Francesco Bernardini,Francesco,Bernardini,Italian painter (1695-1762),1695,1762,painter,
Q3840217,Luigi Trezza,Luigi,Trezza,Italian engineer and architect,1752,1823,"architect, engineer",
Q3876538,Nicolò Bon,Nicolò,Bon,Italian numismatist,1635,1712,numismatist,
Q29831137,Joannes Sozomenus,Joannes,,Cyprus-born philologist and librarian living in Venice,1501,1626,"librarian, philologist",
Q816900,Benedetto Falier,"Benedetto, Benedictus",,,1150,1207,,
Q599549,Antonio Albertini,Antonio,Albertini,,1776,1836,poet,
Q934075,Giovanni Zambelli,Giovanni,Zambelli,,1824,1852,,
Q17284949,Pietro Foscari,Pietro,Foscari,Italian politician,1517,1581,politician,
Q3840267,Luigi Zandomeneghi,Luigi,Zandomeneghi,Italian sculptor,1778,1850,sculptor,
Q1528020,Giulio Cesare Barbetta,Giulio,,Italian composer and luth player,1540,1603,"composer, lutenist",
Q4218411,Antonio Quadri,Antonio,Quadri,Italian economist (1777-1845),1776,1845,economist,
Q10413748,Antonio Bregno,Antonio,,Italian 1425–1457 F:0,1400,1458,"architect, sculptor",
Q19569859,Zanino di Pietro,,,Italian painter active 1389–ca. 1448,1380,1448,painter,
Q55916168,Jacopo Maria Paitoni,Iacopo,,,1708,1774,bibliographer,
Q28801755,Q28801755,Antonia,Fontana,,,,playwright,
Q26248479,Luigi Cunego,Aloisio,,"Born 1750 or 1757, in Verona; died 1823, in Rome. Italian, Engraver (burin).",1757,1823,engraver,
Q26899109,Agostino Chigi,Agostino,,,1634,1705,,
Q21545727,Stanislao Santinelli,Stanislao,,,1672,1748,,
Q3875835,Nicolò Bettoni,Nicolò,Bettoni,Italian publisher and typographer,1770,1842,"typographer, publisher",
Q3472808,Sante Veronese,Sante,,Italian cardinal,1684,1767,"archbishop, Catholic priest, presbyter, vicar general",
Q24056618,Domenica Casarini,Domenica,Casarini,,1800,1800,soprano,
Q16557426,Francesco Trevisan,Francesco,Trevisan,Italian catholic bishop,1658,1732,"Catholic priest, catholic deacon",
Q21587864,Q21587864,Federico,Rossi,,1660,1754,military leader,
Q94529512,Nicolò conte Priuli,Nicolò,,,1792,1854,,
Q55973108,Giovanni Antonio Lazzari,Giovanni,Lazzari,Italian painter (1639-1713),1640,1713,painter,
Q94507195,Vincenz Caruzzo,,,,1788,1872,,
Q94529512,Nicolò conte Priuli,Nicolò,,,1792,1854,,
Q12875037,Geōrgios Vendotēs,,,"translator, editor and printer (1757-1795)",1757,1795,"editor, publisher, printer, translator",
Q3620246,Antonio Stom,Antonio,Stom,Italian painter (1688-1734),1688,1734,painter,
Q21748854,Giambattista Albrizzi,Giambattista,Albrizzi,"(1698-1777), Italian publisher and journalist",1698,1777,"journalist, publisher",
Q53726885,Q53726885,,,,,1530,,
Q21548686,Nicolò Erizzo,Nicolò,Erizzo,,1722,1806,"politician, diplomat",
Q3830434,Leonardo Salimbeni,Leonardo,Salimbeni,Italian engineer and mathematician,1752,1823,"engineer, mathematician",
Q745418,Francesco Lando,Francesco,Lando,Italian cardinal,1350,1428,Catholic priest,
Q69524222,Nicolò Donà,Nicolò,Donà,,1705,1765,"writer, diplomat",
Q55227570,Girolamo Festari,Girolamo,,,1738,1801,"physician, geologist",
Q55226978,Alessandro Del Monte,Alessandro,,,1596,1653,military personnel,
Q50822514,Antonangelo Cavanis,Antonangelo,,Catholic priest and founder of the Congregation of the Schools of Charity,1772,1858,Catholic priest,
Q938588,Francesco Maria Milesi,"Francesco, Maria",Milesi,Italian archbishop,1744,1819,Catholic priest,
Q3107252,Giovanni Maria Dezan,Giovanni,,,1771,1841,"historian, Catholic priest",
Q47880792,Alessandro Lanfranchi,Alessandro,,Italiaans; schilder; frescoschilder; miniatuurschilder; 1662-07-09; Bergamo; 1730-02-05; Venetië,1662,1730,painter,
Q24706498,Bernardo Facini,Bernardo,,,1665,1731,"astronomer, mathematician",
Q75096371,Girolamo Barbarigo,Girolamo,Barbarigo,1723-1782,1723,1782,"priest, physicist, philosopher",
Q367536,Matteo Bragadin,Matteo,Bragadin,Italian politician (1689-1767),1689,1767,politician,
Q61472402,Giovanni Antonio Baglioni,Giovanni,,"Venetian politician, podestà of Bergamo (18th century)",1601,1800,politician,
Q3846244,Marco Mantova Benavides,Marco,,,1489,1582,jurist,
Q3903848,Pietro Edwards,Pietro,Edwards,,1744,1821,,
Q94577408,Andreas Bianchini,Andreas,,,1738,1805,,
Q21832746,Carlo Roti,Carlo,Roti,,1781,1854,"writer, stage actor",
Q2263302,Sebastiano Moratelli,Sebastiano,Moratelli,,1640,1706,"composer, opera singer",
Q3389031,Pipine,,,18th century french performer with phocomelia,1741,1803,jester,
Q56240237,Gaetano Maria Travasa,Gaetano,,born 1698; died 1774,1698,1774,"writer, lay brother, philosopher",
Q3758650,Gaspare Federigo,Gaspare,,Italian physician,1769,1840,physician,
Q21543427,Troilo Malipiero,Troilo,,,1770,1829,writer,
Q64761228,Vincenzo Maria Diedo,Vincenzo,,roman-catholic bishop,1699,1753,Catholic priest,
Q55973108,Giovanni Antonio Lazzari,Giovanni,Lazzari,Italian painter (1639-1713),1639,1713,painter,
Q21587828,Q21587828,Cesare,Piovene,,1533,1570,military personnel,
Q94528041,Franz Fontanella,Franz,,,1768,1827,,
Q3848003,Marina Antonazzoni,Marina,,Italian actress,1593,1639,"actor, stage actor",
Q21545856,Vincenzo Contarenus,Vincenzo,,,1577,1617,,
Q87345326,Gasparo Colombina,Gasparo,,"Italian architect and author, died 1651",1580,1651,"writer, architect",
Q84771112,Antonio Fracanzani,Antonio,Fracanzani,,1506,1567,,
Q88948162,Marco Dandolo,Marco,Dandolo,,1458,1535,,
Q3846186,Marco Guazzo,Marco,,Italian historian,1480,1556,historian,
Q87254191,Alessandro Contarini,Alessandro,Contarini,,,,politician,
Q17326609,Tommaso Giusti,Tommaso,Giusti,Italian architect,1644,1729,"architect, engineer",
Q3903674,Pietro Barbarigo,Pietro,Barbarigo,roman-catholic patriarch,1671,1725,Catholic priest,
Q54880823,Elena Badoero,Elena,,,,,Dogaressa,
Q31440670,Alessandro Bassiano,Alessandro,,italian scholar,1504,1587,antiquarian,
Q3264990,Luca Monverde,Luca,Monverde,Italian painter (1500-1526),1500,1526,painter,
Q17303113,Marino Morosini,Marino,Morosini,,,1301,,
Q3712938,Domenico Caminer,Domenico,,Italian writer and journalist,1721,1795,"writer, journalist",
Q66328832,Girolamo Cornaro,,,Venetian patrician (c. 1486-1551),,,aristocrat,
Q84771112,Antonio Fracanzani,Antonio,Fracanzani,,1506,1567,,
Q1876090,Luigi Arduino,Luigi,Arduino,"Italian agriculturalist, author and professor",1759,1833,"farmer, university teacher",
Q18708711,Giovanni Morosini,Giovanni,,,1719,1789,Catholic priest,
Q3638802,Bernardo Rossi,Bernardo,Rossi,,1432,1468,Catholic priest,
Q16054417,Antonio Gualtieri,Antonio,Gualtieri,Italian composer,1580,1649,composer,
Q7001001,Girolamo Zane,Girolamo,,,,1572,,
Q19862442,Giovanni Giustiniani,Giovanni,Giustiniani,,1501,1557,translator,
Q3762310,Giacomo Vianol,Giacomo,Vianol,,1598,1691,Catholic priest,
Q16559804,Giovanni Battista Grimani,"Giovanni, Giovanni Battista",,,1601,1700,military personnel,
Q3802281,Isabella Martinengo,Isabella,,,1611,1708,,
Q70356508,Giovanni Finetti,Giovanni,Finetti,,1529,1613,"lawyer, jurist",
Q43288843,Giulio Cesare Rospigliosi,"Giulio, Cesare",Rospigliosi,,1781,1859,,
Q3749547,Francesco Antonio Avelloni,Francesco,,Italian actor,1756,1837,actor,
Q3992807,Tommaso Medin,Tommaso,Medin,,1725,1787,,
Q3741680,Federico Corner,Federico,Corner,"Italian entrepreneur, politician and diplomat",,1382,"diplomat, politician, entrepreneur",
Q94506620,Peter Berti,Peter,,,1741,1813,writer,
Q3664314,Celso Martinengo,Celso,Martinengo,Italian theologian,1515,1557,theologian,
Q55225469,Giovanni Battista Bendazzoli,Giovanni,,,1739,1812,sculptor,
Q3766588,Giovanni Battista Bianchi,Giovanni,Bianchi,Italian architect and sculptor (1631-1687),1631,1687,"architect, sculptor",
Q15630918,Giovanni Fratta,Giovanni,Fratta,Italian poet,1600,1627,writer,
Q28374034,Ugolino de' Rossi,Ugolino,,,1300,1377,priest,
Q64691723,Adriano Beretti,Adriano,Beretti,roman-catholic bishop,1506,1572,,
Q55228365,Giustiniano Giustinian,Giustiniano,Q64031004,,1525,1537,,
Q21548710,Pietro Bettio,Pietro,Bettio,,1769,1846,librarian,
Q4212762,Paolo Canciani,"Paul, Paolo",Canciani,Italian theologian,1725,1810,theologian,
Q17550183,Girolamo Costantini,Girolamo,Costantini,Italian painter (1710-1772),1710,1772,painter,
Q75235298,Giovanni Faccioli,Giovanni,Faccioli,"Italian painter, 1729-1809",1729,1809,"artist, painter",
Q1867774,Lodovico Fogliano,"Ludovico, Lodovico",Fogliano,"Italian music theorist, composer, singer, and humanist",1490,1548,"composer, singer, musician, music theorist",
Q3712972,Domenico Codagli,Domenico,Codagli,Italian writer,1562,1610,writer,
Q94506967,Michael Stalimene,Michael,,,1760,1828,,
Q3768924,Girolamo Fenaroli Avogadro,Girolamo,Fenaroli Avogadro,Italian politician 1754-1802,1754,1802,"intellectual, politician",
Q19799549,Antonio De Fantis,Antonio,,,1460,1533,theologian,
Q21548686,Nicolò Erizzo,Nicolò,Erizzo,,1722,1806,"politician, diplomat",
Q94618859,Johann Volmar,Johann,,,1779,1835,,
Q94506972,Johann Tician,Giovanni,,,1760,1827,,
Q88004908,Q88004908,,,,1458,1534,politician,
Q41744564,Vincenzo Querini,Vincenzo,Querini,,1478,1514,"diplomat, monk",
Q3620248,Antonio Surian,Antonio,Surian,Italian patriarch,1451,1508,,
Q605253,Antonio Spinelli,Antonio,Spinelli,Italian member of the theatines,1630,1706,Geheimrat,
Q3713188,Domenico Pizzamano,Domenico,,Italian politician,1748,1817,politician,
Q56006855,Maffeo Pinelli,Maffeo,Pinelli,born 1736; died 1785,1736,1785,"printer, translator",
Q3848165,Marino Badoer,Marino,Badoer,Italian politician,1220,1291,politician,
Q94999682,Francesco Baratta,Francesco,,venetian politician 1585,1514,1587,,
Q4014931,Vitale Candiano,Vitale,,,,1012,Catholic priest,
Q3613471,Alvise Sagredo,Alvise,,roman-catholic patriarch,1617,1688,"Catholic priest, catholic deacon",
Q16546198,Curzio Troiano Navò,Curzio Troiano,Navò,Italian publisher,1501,1600,publisher,
Q98907911,Giovanni Battista Lantana,"Giovanni, Battista",,"jurist, lawyer and writer",1793,1883,"writer, lawyer, jurist",
Q3638044,Benedetto Benedetti,Benedetto,Benedetti,,,1629,Catholic priest,
Q15088717,Domenico Lu Domine,Domenico,,Italian painter (1380-1447),1380,1447,painter,
Q41617675,Giovanni Antonio Querini,Giovanni,,Venetian lawyer (18th century),1701,1800,,
Q59265071,Q59265071,,,,1768,1843,"politician, jurist, prosecutor, large estate owner",
Q55225856,Paolo Borgasio,"Paul, Paolo",,roman-catholic bishop,1466,1541,,
Q19514393,Maria Torresano,Maria,,Venetian printer,,,printer,
